FIG1.) NOT((a OR b) AND (NOT(a AND c))) OR (NOT((NOT b) OR d))

a  b  c  d  SAÍDA: 
0  0  0  0  1
1  0  0  0  0
0  1  0  0  1
1  1  0  0  1
0  0  1  0  1
1  0  1  0  1
0  1  1  0  1
1  1  1  0  1
0  0  0  1  1
1  0  0  1  0
0  1  0  1  0
1  1  0  1  0
0  0  1  1  1
1  0  1  1  1
0  1  1  1  0
1  1  1  1  1


FIG2.) NOT((NOT(a AND b)) OR (NOT(c AND NOT(d))))

a  b  c  d  SAÍDA:
0  0  0  0  0
1  0  0  0  0
0  1  0  0  0
1  1  0  0  0
0  0  1  0  0
1  0  1  0  0
0  1  1  0  0
1  1  1  0  1
0  0  0  1  0
1  0  0  1  0
0  1  0  1  0
1  1  0  1  0
0  0  1  1  0
1  0  1  1  0
0  1  1  1  0
1  1  1  1  0


FIG3.) (NOT((NOT ((b AND (NOT d)) OR a)) AND (((NOT c) AND d) OR (c AND d)))) AND (NOT((((NOT a) OR c) AND (b AND d)) OR c))

a  b  c  d  SAÍDA:
0  0  0  0  1
1  0  0  0  1
0  1  0  0  1
1  1  0  0  1
0  0  1  0  0
1  0  1  0  0
0  1  1  0  0
1  1  1  0  0
0  0  0  1  0
1  0  0  1  1
0  1  0  1  0
1  1  0  1  1
0  0  1  1  0
1  0  1  1  0
0  1  1  1  0
1  1  1  1  0


FIG4.) (c AND (NOT((NOT(a AND (NOT c) AND d)) OR (NOT((NOT a) OR b OR (NOT c)))))) OR (b XOR d) OR (NOT((NOT((NOT a) OR b OR (NOT c))) AND (d)))


a  b  c  d  SAÍDA:
0  0  0  0  1
1  0  0  0  1
0  1  0  0  1
1  1  0  0  1
0  0  1  0  1
1  0  1  0  1
0  1  1  0  1
1  1  1  0  1
0  0  0  1  1
1  0  0  1  1
0  1  0  1  1
1  1  0  1  1
0  0  1  1  1
1  0  1  1  1
0  1  1  1  1
1  1  1  1  1








